"pitches","durations"
"D4","2.0000"
"G4","1.0000"
"Bb4","2.0000"
"D5","1.0000"
"C#5","0.7500"
"E5","0.2500"
"D5","1.0000"
"D5","1.0000"
"D5","2.0000"
"D5","0.3333"
"C#5","0.3333"
"D5","0.3333"
"E5","1.0000"
"D5","1.0000"
"C#5","1.0000"
"Bb4","1.0000"
"A4","1.0000"
"Bb4","0.2500"
"A4","0.2500"
"G4","0.5000"
"C#5","0.7500"
"E5","0.2500"
"D5","1.0000"
"D5","1.0000"
"G5","1.5000"
"D5","0.5000"
"Bb4","0.5000"
"G4","0.5000"
"D4","2.0000"
"G4","1.0000"
"Bb4","2.0000"
"D5","1.0000"
"C#5","3.0000"
"C#5","2.0000"
"Bb4","0.3333"
"A4","0.3333"
"Bb4","0.3333"
"E5","1.0000"
"D5","1.0000"
"C#5","1.0000"
"Bb4","1.0000"
"A4","1.0000"
"D5","0.5000"
"F#4","0.5000"
"G4","1.5000"
"G4","0.5000"
"A4","0.5000"
"Bb4","0.5000"
"C#5","1.5000"
"Bb4","0.5000"
"A4","0.5000"
"G4","0.5000"
"G4","3.0000"
"G3","3.0000"
"D5","1.0000"
"G5","1.5000"
"E5","0.5000"
"F5","1.5000"
"E5","0.5000"
"F5","0.2500"
"E5","0.2500"
"D5","0.5000"
"D5","1.0000"
"F5","1.5000"
"E5","0.5000"
"D5","1.5000"
"C#5","0.5000"
"D5","0.2500"
"C#5","0.2500"
"Bb4","0.5000"
"Bb4","1.0000"
"E5","1.0000"
"D5","1.0000"
"C#5","1.5000"
"Bb4","0.5000"
"A4","0.5000"
"G4","0.5000"
"C#5","0.7500"
"E5","0.2500"
"D5","1.0000"
"D5","1.0000"
"G5","2.0000"
"D5","1.0000"
"D5","1.0000"
"G5","1.5000"
"E5","0.5000"
"F5","1.5000"
"E5","0.5000"
"F5","0.2500"
"E5","0.2500"
"D5","0.5000"
"D5","1.0000"
"F5","1.5000"
"E5","0.5000"
"D5","1.5000"
"C#5","0.5000"
"D5","0.2500"
"C#5","0.2500"
"Bb4","0.5000"
"Bb4","1.0000"
"E5","1.0000"
"D5","1.0000"
"C#5","1.5000"
"Bb4","0.5000"
"A4","0.5000"
"Bb4","0.5000"
"G4","3.0000"
"G3","3.0000"
"C#5","1.0000"
"D5","1.0000"
"D4","0.5000"
"G4","0.7500"
"D4","0.2500"
"Bb4","0.5000"
"D5","0.5000"
"D5","0.2500"
"C#5","0.2500"
"C#5","0.2500"
"Bb4","0.2500"
"D5","1.0000"
"C#5","0.2500"
"D5","0.2500"
"E5","0.2500"
"D5","0.2500"
"C#5","0.2500"
"Bb4","0.2500"
"A4","0.2500"
"Bb4","0.2500"
"C#5","0.5000"
"E5","0.5000"
"D5","0.5000"
"C#5","0.2500"
"Bb4","0.2500"
"A4","0.2500"
"G4","0.2500"
"G4","0.7500"
"D4","0.2500"
"Bb4","0.5000"
"D5","0.5000"
"D5","0.2500"
"C#5","0.2500"
"C#5","0.2500"
"Bb4","0.2500"
"D5","1.0000"
"C#5","0.2500"
